date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:41:31	132/132	---MCZ	404	error ('Not%20Found')	application/xml	date:Sun,%2005%20Mar%202023%2006:41:30%20GMT	https://golddigger.frvr.com/robots.txt		(from )
01:41:31	53528/53528	---MCZ	200	added ('OK')	text/html	etag:W/%22a4967eba13d94a5309a91364db5d3f8a%22	https://golddigger.frvr.com/	C:/Users/mcts/Documents/ryder%20channel/golds/golddigger.frvr.com/index.html	(from )
01:41:31	664/664	---MCZ	200	added ('OK')	application/json	etag:W/%229decbf8a07e3c5ef7fe17a55377ce305%22	https://golddigger.frvr.com/assets/manifest.e9c3640c.json	C:/Users/mcts/Documents/ryder%20channel/golds/golddigger.frvr.com/assets/manifest.e9c3640c.json	(from https://golddigger.frvr.com/)
01:41:31	2839/2839	---M--	200	added ('OK')	image/png	etag:%22e88831519cba5d254eb92892dbc9b789%22	https://golddigger.frvr.com/assets/favicon.38b05438.png	C:/Users/mcts/Documents/ryder%20channel/golds/golddigger.frvr.com/assets/favicon.38b05438.png	(from https://golddigger.frvr.com/)
01:41:31	3641/3641	---M--	200	added ('OK')	image/png	etag:%225befadc9526e8fd14cc1f5cb9c19eb24%22	https://golddigger.frvr.com/assets/icon60x60.2754d9f4.png	C:/Users/mcts/Documents/ryder%20channel/golds/golddigger.frvr.com/assets/icon60x60.2754d9f4.png	(from https://golddigger.frvr.com/)
01:41:32	4870/4870	---M--	200	added ('OK')	image/png	etag:%22badb3830fa39079ad174563ecfe613b4%22	https://golddigger.frvr.com/assets/icon76x76.8c4ac757.png	C:/Users/mcts/Documents/ryder%20channel/golds/golddigger.frvr.com/assets/icon76x76.8c4ac757.png	(from https://golddigger.frvr.com/)
01:41:32	53742/53742	---MCZ	200	added ('OK')	text/html	etag:W/%226b343766fc74f140ed0176018335ecad%22	https://golddigger.frvr.com/ru/	C:/Users/mcts/Documents/ryder%20channel/golds/golddigger.frvr.com/ru/index.html	(from https://golddigger.frvr.com/)
01:41:32	9052/9052	---M--	200	added ('OK')	image/png	etag:%222ce49e0c55cfbf3554158a710bd90b02%22	https://golddigger.frvr.com/assets/icon120x120.44e1b4e9.png	C:/Users/mcts/Documents/ryder%20channel/golds/golddigger.frvr.com/assets/icon120x120.44e1b4e9.png	(from https://golddigger.frvr.com/)
01:41:32	18227/18227	---M--	200	added ('OK')	image/png	etag:%22492327303d271e02a62f72f0dbf0460b%22	https://golddigger.frvr.com/assets/icon196x196.3ade6aee.png	C:/Users/mcts/Documents/ryder%20channel/golds/golddigger.frvr.com/assets/icon196x196.3ade6aee.png	(from https://golddigger.frvr.com/)
01:41:32	27801/27801	---M--	200	added ('OK')	image/png	etag:%22b714454a750d53e34864146d5452f397%22	https://golddigger.frvr.com/assets/icon256x256.d7d9727f.png	C:/Users/mcts/Documents/ryder%20channel/golds/golddigger.frvr.com/assets/icon256x256.d7d9727f.png	(from https://golddigger.frvr.com/)
01:41:33	260688/260688	---M--	200	added ('OK')	image/png	etag:%22dc4f89f5615184f62d920ddf6b0c59e6%22	https://golddigger.frvr.com/assets/icon1024x1024.bdffae1c.png	C:/Users/mcts/Documents/ryder%20channel/golds/golddigger.frvr.com/assets/icon1024x1024.bdffae1c.png	(from https://golddigger.frvr.com/)
01:41:33	21748/21748	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a750a84d2cd5eb69aa0b8b1b94db6da8%22	https://cdn2.frvr.com/onetrust/scripttemplates/otSDKStub.js	C:/Users/mcts/Documents/ryder%20channel/golds/cdn2.frvr.com/onetrust/scripttemplates/otSDKStub.js	(from https://golddigger.frvr.com/)
01:41:33	53752/53752	---MCZ	200	added ('OK')	text/html	etag:W/%22d210e69ce71dbcadfe57fca5ae0317aa%22	https://golddigger.frvr.com/zh-Hans/	C:/Users/mcts/Documents/ryder%20channel/golds/golddigger.frvr.com/zh-Hans/index.html	(from https://golddigger.frvr.com/)
01:41:33	127/127	---MCZ	404	error ('Not%20Found')	application/xml	date:Sun,%2005%20Mar%202023%2006:41:32%20GMT	https://golddigger.frvr.com/POST	C:/Users/mcts/Documents/ryder%20channel/golds/golddigger.frvr.com/POST	(from https://golddigger.frvr.com/)
