date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:50:58	39476/39476	---M--	200	added ('OK')	font/woff2	etag:%22dc820d9f0f62811268590ff631f36be9%22	https://frvr.com/fonts/poppins-devanagari-300-normal.8236e9.woff2	C:/My%20Web%20Sites/gold/frvr.com/fonts/poppins-devanagari-300-normal.8236e9.woff2	(from https://frvr.com/css/app.cccc71fbc122b4fe8770.css)
00:50:58	66448/66448	---M--	200	added ('OK')	font/woff	etag:%2296672ca837f683bf9e6eed61e86c6012%22	https://frvr.com/fonts/poppins-all-300-normal.9541f5.woff	C:/My%20Web%20Sites/gold/frvr.com/fonts/poppins-all-300-normal.9541f5.woff	(from https://frvr.com/css/app.cccc71fbc122b4fe8770.css)
00:50:58	15086/15086	---MCZ	200	added ('OK')	image/x-icon	etag:W/%22f7d8205afb4d53792e893baed428bd71%22	https://frvr.com/tutorials/favicon.ico	C:/My%20Web%20Sites/gold/frvr.com/tutorials/favicon.ico	(from https://frvr.com/tutorials/)
00:50:58	36497/36497	---MCZ	200	added ('OK')	text/css	etag:W/%22519dbb8fbe1a4b41535e9ba1942b8071%22	https://frvr.com/tutorials/assets/basketball.61a5c92f.css	C:/My%20Web%20Sites/gold/frvr.com/tutorials/assets/basketball.61a5c92f.css	(from https://frvr.com/tutorials/)
00:50:59	10263/10263	---MCZ	200	added ('OK')	text/html	etag:W/%22ee12447be6b48a4fef8117a301c0287b%22	https://frvr.com/tutorials/index.html	C:/My%20Web%20Sites/gold/frvr.com/tutorials/index-2.html	(from https://frvr.com/tutorials/)
00:50:59	5570/5570	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e349d803f7d4980b0d9a5309fa9883df%22	https://frvr.com/tutorials/assets/logo.5f5c394e.svg	C:/My%20Web%20Sites/gold/frvr.com/tutorials/assets/logo.5f5c394e.svg	(from https://frvr.com/tutorials/)
00:50:59	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2005%20Mar%202023%2005:50:58%20GMT	https://frvr.com/tutorials/troubleshooting	C:/My%20Web%20Sites/gold/frvr.com/tutorials/troubleshooting	(from https://frvr.com/tutorials/)
00:50:59	11735/11735	---MCZ	200	added ('OK')	text/html	etag:W/%220f46813b5183f3f03ce763d1841fddac%22	https://frvr.com/tutorials/troubleshooting/index.html	C:/My%20Web%20Sites/gold/frvr.com/tutorials/troubleshooting/index.html	(from https://frvr.com/tutorials/)
00:51:00	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2005%20Mar%202023%2005:50:59%20GMT	https://frvr.com/tutorials/basketball	C:/My%20Web%20Sites/gold/frvr.com/tutorials/basketball	(from https://frvr.com/tutorials/)
00:51:00	11374/11374	---MCZ	200	added ('OK')	text/html	etag:W/%22c80f0bf7169303d0ade0c0c16403c4de%22	https://frvr.com/tutorials/basketball/index.html	C:/My%20Web%20Sites/gold/frvr.com/tutorials/basketball/index.html	(from https://frvr.com/tutorials/)
